,STATE,CONFIRMED_CORONA_AMT,REPORTED_DIGITAL_CORONA_AMT,FOCUS_AREAS,CONFIRMED_DEATHS,REPORTED_DIGITAL_DEATHS
0,Baden-Württemberg,1105,1062,,3,3
1,Bayern,1067,965,,5,4
2,Berlin,300,300,,0,0
3,Brandenburg,94,65,,0,0
4,Bremen,56,56,,0,0
5,Hamburg,260,255,,0,0
6,Hessen,342,241,,0,0
7,Mecklenburg-Vorpommern,51,36,,0,0
8,Niedersachsen,391,272,,0,0
9,Nordrhein-Westfalen,1541,1541,Landkreis Heinsberg,5,5
10,Rheinland-Pfalz,325,325,,0,0
11,Saarland,85,32,,0,0
12,Sachsen,140,103,,0,0
13,Sachsen-Anhalt,77,40,,0,0
14,Schleswig-Holstein,123,104,,0,0
15,Thüringen,55,36,,0,0
