,STATE,CONFIRMED_CORONA_AMT,REPORTED_DIGITAL_CORONA_AMT,FOCUS_AREAS,CONFIRMED_DEATHS,REPORTED_DIGITAL_DEATHS
0,Baden-Württemberg,569,506,,2,2
1,Bayern,681,605,,1,1
2,Berlin,216,216,,0,0
3,Brandenburg,61,57,,0,0
4,Bremen,50,50,,0,0
5,Hamburg,158,119,,0,0
6,Hessen,203,141,,0,0
7,Mecklenburg-Vorpommern,45,23,,0,0
8,Niedersachsen,253,187,,0,0
9,Nordrhein-Westfalen,1154,1.154,Landkreis Heinsberg,5,5
10,Rheinland-Pfalz,121,121,,0,0
11,Saarland,40,31,,0,0
12,Sachsen,93,86,,0,0
13,Sachsen-Anhalt,45,40,,0,0
14,Schleswig-Holstein,60,54,,0,0
15,Thüringen,46,31,,0,0
